target,level,branching,detectionTask,onset
4)3-+(1()2-,0,none,0,3789
+3)2-(1+4)@,2,right,1,8057
-2+)()1+3(4,1,right,0,11894
(3-+))1-2(4,1,right,0,16162
2)1-4((+)3-,1,left,0,20239
4)2+3(-)-1(,1,left,0,24206
(+-)1)4+3(2,1,right,0,28204
)(4+3)-1(2-,2,left,0,32149
-3)2+(1-4)(,2,right,0,36177
2-+4)-3()1(,0,none,0,39997
((2+3)-4)+1,3,left,0,43931
+)-1()3-4(2,1,right,0,48240
((3+1)-4)-2,3,left,0,52186
1+(4-(2+3)),3,right,0,56205
1+@4-(3+2)),3,right,1,59973
2)1)(4(3-++,0,none,0,63932
3+(1-(4+2)),3,right,0,68167
)4(+-)2-3(1,1,right,0,72093
((2+3)-4)-1,3,left,0,76129
4))1(-3(++2,0,none,0,80127
2-(1+(3-4)),3,right,0,84241
2(-)+)1-4(3,1,right,0,88052
))2@4(+-3(1,1,left,1,91873
)3-+1()2(4-,0,none,0,95915
1-)2)4(3(++,0,none,0,99788
((4+2)-3)-1,3,left,0,104203
-4)1+(3+2)(,2,right,0,108171
+1)2-(3-4)(,2,right,0,111947
((1-2)+3)+4,3,left,0,115819
1-(3+(4+2)),3,right,0,120150
)(2+1)-3(4-,2,left,0,124225
)(3-1)+2(+4,2,left,0,128231
)(2+3)-4(1+,2,left,0,131934
3+)(-)1-2(4,1,right,0,136034
3)2+1()--4(,1,left,0,139868
1+-3))4(2+(,0,none,0,143839
3)4+2((-+1),1,left,0,148050
3)2)1+(-(4+,0,none,0,152137
4+(2-(1+3)),3,right,0,155845
)(1-2)+3(4+,2,left,0,160135
((1-4)+2)+3,3,left,0,163978
-4)((2++1)3,0,none,0,167771
((2+3)-1)+4,3,left,0,171878
((3-4)+1)-2,3,left,0,175927
-3+-4)(2()1,0,none,0,179820
)(4+1)-2(-3,2,left,0,183785
((3+4)-1)-2,3,left,0,188221
3-)4+(1-2)(,2,right,0,192060
4+)3-+1)(2(,0,none,0,196120
3-(2+(4-1)),3,right,0,199760
4(+)-)@+1(2,1,right,1,204038
(1+)4)2-3(+,1,right,0,207848
)(3-4)+1(-2,2,left,0,212049
3-)1+(2-4)(,2,right,0,216227
1)4+2()-3(+,1,left,0,219783
)(2+3)-1(4+,2,left,0,224017
3+(-@2)4)(1,0,none,1,228212
-4)1+(3+2)(,2,right,0,231952
)2)(1+-3-(4,0,none,0,235812
((3+@)-1)-4,3,left,1,239998
3)(1-)2@4(-,1,right,1,244084
-)4+()3+1(2,1,right,0,247924
)(2-@)+4(3-,2,left,1,252034
4+)-2)1-3((,1,right,0,255826
2(+-4()3-)1,0,none,0,259977
1(+-4-)3)2(,0,none,0,263799
2)3-1()(+4+,1,left,0,267949
)(4-2)+1(+3,2,left,0,272098
))3-2(1(4+-,1,left,0,276173
4-)1+(2+3)(,2,right,0,279856
4+(1-(3-2)),3,right,0,284000
)(3+2)-4(1+,2,left,0,287855
2)4-)(1(+3+,0,none,0,292227
1()+-)2+4(3,1,right,0,296005
)(2-4)+1(-3,2,left,0,300218
-4)3+(2-1@(,2,right,1,303796
+2)1-(4-3)(,2,right,0,307875
(3-)1)4+2(-,1,right,0,312120
4)()1(2-+3+,0,none,0,316211
2)1+3()(--4,1,left,0,319853
+2)3-(4+1)(,2,right,0,323791
2)(4-@(1++3,0,none,1,328199
1)+3)-2(4(-,0,none,0,332080
1+(3-(4+2)),3,right,0,336050
-2+)3)1+4((,1,right,0,339780
((4-2)+3)-1,3,left,0,343992
2-)4+(1-3)(,2,right,0,348054
-1)4+(3+2)(,2,right,0,351916
2-(4+(1+3)),3,right,0,355985
2)(+-)4+3(1,1,right,0,359929
))1+2(-4(3-,1,left,0,364190
