prime,target,primeCategory,targetCategory,detectionTask,onset
a*tan(b),cos(x-y),2,3,0,3792
log(x)*y,cos(b+a),1,3,0,7807
sin(a)*b,x+tan(y),1,2,0,12247
cos(b)+a,log(x)*y,1,1,0,16092
tan(x)+y,a*sin(b),1,2,0,19871
log(a)*b,tan(y)+x,1,1,0,23875
log(x*y),cos(b)+a,3,1,0,28187
sin(b),log(y),4,4,0,31839
log(x)*y,tan(a+b),1,3,0,35955
log(b),(y*x),4,5,0,40102
x)log*y(,a)sin-b(,6,6,0,44029
(y*x),(b-a),5,5,0,48144
sin(b),(y+x),4,5,0,51962
@)a(+,x)y(-,8,8,1,56031
cos(b)+a,tan(y)-x,1,1,0,59993
a)cos-b(,x)sin*y(,6,6,0,64188
a)sin-b(,x)log*y(,6,6,0,67774
cos(y),(a-b),4,5,0,72200
y+log(x),cos(a-b),2,3,0,75945
c@s(b+a),sin(y-x),3,3,1,79829
y)cos+x(,b)tan-a(,6,6,0,83837
log(y),(b*a),4,5,0,87877
(x-y),cos(b),5,4,0,91894
@b+a),(y-x),5,5,1,95932
a)(tan,x)(sin,7,7,0,100008
log(x)*y,b-cos(a),1,2,0,103828
sin(x-y),tan(a+b),3,3,0,108112
log(b*a),tan(x+y@,3,3,1,111880
x+tan(y),a*sin(b),2,2,0,115870
log(x)*y,tan(a)+b,1,1,0,120090
cos(b)+a,log(x*y),1,3,0,124004
a)sin-b(,y)cos*x(,6,6,0,127974
cos(x-y),a*tan(b),3,2,0,132018
a)b(*,x)y(-,8,8,0,136093
a)sin+b(,x)c@s*y(,6,6,1,140108
sin(y),(b*a),4,5,0,144228
x)(sin,a)(tan,7,7,0,148208
y+tan(x),a*log(b),2,2,0,152250
log(x*y),tan(a)+b,3,1,0,156145
cos(a-b),y+log(x),3,2,0,160130
a*log(b),tan(y)+x,2,1,0,164033
a+tan(b),x-sin(y),2,2,0,168191
x)(log,b)(cos,7,7,0,171909
cos(b)+a,tan(y-x),1,3,0,176176
b-log(a),y*cos@x),2,2,1,179967
tan(a+b),x-sin(y),3,2,0,184235
x)y(*,a)b(-,8,8,0,187950
log(y),sin(b),4,4,0,191862
(a@b),(y*x),5,5,1,195779
x-cos(y),tan(a*b),2,3,0,200059
