Weight	Nested	Procedure	Level	BranchSide	MemoryExpression	TaskExpression	TaskAns	DiffPosi1	WithinCorrect1	DiffPosi2	WithinCorrect2	ExchSymb	Trigger	RandPeriod
1		stimproc	0	N	)1)+3-+2(4(	)1)+4-+2(3(	1	5	0	10	0	1	1	4524
1		stimproc	1	R	-()2+)3+4(1	-()2+)4+3(1	1	7	1	9	1	1	3	2619
1		stimproc	2	R	+2)1-(3+4)(	+2)4-(3+1)(	1	4	1	9	1	1	5	4905
1		stimproc	3	R	2+(1-(3+4))	2+(4-(3+1))	1	4	1	9	1	1	7	2905
1		stimproc	0	N	2)4+)+-3(1(	2)1+)+-3(4(	1	3	0	10	0	1	1	2238
1		stimproc	1	L	3)4+1()2-+(	2)4+1()3-+(	1	1	0	8	0	1	2	2810
1		stimproc	2	L	)(4+1)-3(2+	)(1+4)-3(2+	1	3	1	5	1	1	4	2190
1		stimproc	3	L	((4+1)-3)+2	((4+2)-3)+1	1	5	1	11	1	1	6	3286
1		stimproc	0	N	4)3(+(-2+)1	4)1(+(-2+)3	1	3	0	11	0	1	1	4143
1		stimproc	1	L	3)1+4((2-)+	3)1+2((4-)+	1	5	1	8	0	1	2	4190
1		stimproc	2	L	)(1+4)-3(+2	)(1+4)-2(+3	1	8	1	11	0	1	4	4048
1		stimproc	3	L	((1+4)-3)+2	((1+3)-4)+2	1	5	1	8	1	1	6	4952
1		stimproc	0	N	-1))+2(+4(3	-3))+2(+4(1	1	2	0	11	0	1	1	2381
1		stimproc	1	R	+)(4+)2-3(1	+)(4+)2-1(3	1	9	1	11	0	1	3	3143
1		stimproc	2	R	1+)4+(2-3)(	3+)4+(2-1)(	1	1	0	9	1	1	5	3619
1		stimproc	3	R	1+(4+(2-3))	1+(4+(3-2))	1	7	1	9	1	1	7	2143
1		stimproc	0	N	4)1-+)(3(+2	4)1++)(3(-2	1	4	0	10	0	2	1	4857
1		stimproc	1	R	-4(+))2+3(1	+4(-))2+3(1	1	1	0	4	0	2	3	3429
1		stimproc	2	R	1+)4-(2+3)(	1+)4+(2-3)(	1	5	1	8	1	2	5	4762
1		stimproc	3	R	1+(4-(2+3))	1+(4+(2-3))	1	5	1	8	1	2	7	5000
1		stimproc	0	N	2)3-+()+4(1	2)3++()-4(1	1	4	0	8	0	2	1	3381
1		stimproc	1	L	()3+2()4-+1	()3+2()4+-1	1	9	0	10	0	2	2	4714
1		stimproc	2	L	)(3+2)-4(+1	)(3+2)+4(-1	1	7	1	10	0	2	4	3762
1		stimproc	3	L	((3+2)-4)+1	((3-2)+4)+1	1	7	1	4	1	2	6	4238
1		stimproc	0	N	3)+(1+)4-(2	3)-(1+)4+(2	1	9	0	3	0	2	1	3333
1		stimproc	1	R	+2)+1)3-4((	+2)-1)3+4((	1	8	1	4	0	2	3	3238
1		stimproc	2	R	+1)2+(3-4)(	-1)2+(3+4)(	1	8	1	1	0	2	5	4000
1		stimproc	3	R	1+(2+(3-4))	1-(2+(3+4))	1	8	1	2	1	2	7	3571
1		stimproc	0	N	+4(+-)2)1(3	-4(++)2)1(3	1	5	0	1	0	2	1	2667
1		stimproc	1	L	2)4+3(-)(1+	2)4+3(+)(1-	1	7	0	11	0	2	2	4667
1		stimproc	2	L	)(4+3)-1(2+	)(4+3)+1(2-	1	7	1	11	0	2	4	4810
1		stimproc	3	L	((4+3)-1)+2	((4-3)+1)+2	1	7	1	4	1	2	6	2048
1		stimproc	0	N	)1+-+)4(3(2	)1+-+)4(3(2	2	-1	-1	-1	-1	-1	1	3048
1		stimproc	1	R	()+2+)4-3(1	()+2+)4-3(1	2	-1	-1	-1	-1	-1	3	2714
1		stimproc	2	R	+1)2+(4-3)(	+1)2+(4-3)(	2	-1	-1	-1	-1	-1	5	3524
1		stimproc	3	R	1+(2+(4-3))	1+(2+(4-3))	2	-1	-1	-1	-1	-1	7	2095
1		stimproc	0	N	1))+2((4+-3	1))+2((4+-3	2	-1	-1	-1	-1	-1	1	2952
1		stimproc	1	L	3)1+4((+)2-	3)1+4((+)2-	2	-1	-1	-1	-1	-1	2	4476
1		stimproc	2	L	)(1+4)-2(3+	)(1+4)-2(3+	2	-1	-1	-1	-1	-1	4	4333
1		stimproc	3	L	((1+4)-2)+3	((1+4)-2)+3	2	-1	-1	-1	-1	-1	6	2762
1		stimproc	0	N	4()1+-)3+(2	4()1+-)3+(2	2	-1	-1	-1	-1	-1	1	4381
1		stimproc	1	R	3+(+))2-4(1	3+(+))2-4(1	2	-1	-1	-1	-1	-1	3	4619
1		stimproc	2	R	+1)3+(2-4)(	+1)3+(2-4)(	2	-1	-1	-1	-1	-1	5	3810
1		stimproc	3	R	1+(3+(2-4))	1+(3+(2-4))	2	-1	-1	-1	-1	-1	7	3095
1		stimproc	0	N	-(2+)4)1(+3	-(2+)4)1(+3	2	-1	-1	-1	-1	-1	1	3476
1		stimproc	1	L	2)4+3((+)1-	2)4+3((+)1-	2	-1	-1	-1	-1	-1	2	3190
1		stimproc	2	L	)(4+3)+2(1-	)(4+3)+2(1-	2	-1	-1	-1	-1	-1	4	2524
1		stimproc	3	L	((4+3)+2)-1	((4+3)+2)-1	2	-1	-1	-1	-1	-1	6	2857
1		stimproc	0	N	2)(1-+)4(+3	2)(1-+)4(+3	2	-1	-1	-1	-1	-1	1	2476
1		stimproc	1	L	2)1+4(()+-3	2)1+4(()+-3	2	-1	-1	-1	-1	-1	2	3000
1		stimproc	2	L	)(1+4)+2(-3	)(1+4)+2(-3	2	-1	-1	-1	-1	-1	4	2333
1		stimproc	3	L	((1+4)+2)-3	((1+4)+2)-3	2	-1	-1	-1	-1	-1	6	3857
1		stimproc	0	N	+4)3+()1(-2	+4)3+()1(-2	2	-1	-1	-1	-1	-1	1	4095
1		stimproc	1	R	+()3+)1-4(2	+()3+)1-4(2	2	-1	-1	-1	-1	-1	3	4571
1		stimproc	2	R	3+)2+(1-4)(	3+)2+(1-4)(	2	-1	-1	-1	-1	-1	5	2286
1		stimproc	3	R	3+(2+(1-4))	3+(2+(1-4))	2	-1	-1	-1	-1	-1	7	4286
1		stimproc	0	N	2+))3+-(1(4	2+))3+-(1(4	2	-1	-1	-1	-1	-1	1	3667
1		stimproc	1	R	4)-+()3+2(1	4)-+()3+2(1	2	-1	-1	-1	-1	-1	3	3714
1		stimproc	2	R	-4)1+(3+2)(	-4)1+(3+2)(	2	-1	-1	-1	-1	-1	5	2429
1		stimproc	3	R	4-(1+(3+2))	4-(1+(3+2))	2	-1	-1	-1	-1	-1	7	3952
1		stimproc	0	N	+2))3(-1(4+	+2))3(-1(4+	2	-1	-1	-1	-1	-1	1	4429
1		stimproc	1	L	1)3+4(+)(2-	1)3+4(+)(2-	2	-1	-1	-1	-1	-1	2	2000
1		stimproc	2	L	)(3+4)-2(1+	)(3+4)-2(1+	2	-1	-1	-1	-1	-1	4	3905
1		stimproc	3	L	((3+4)-2)+1	((3+4)-2)+1	2	-1	-1	-1	-1	-1	6	2571
